Model,Cluster
6UCubeSat_Decision_Module_Decision_Module_2_Controller_Impl_1,6
6UCubeSat_Rate_Limited_PID_Controller_Rate_Limited_PID_Controller_Impl_1,6
6UCubeSat_RTA_Controller_RTA_Controller_Impl_1,6
6UCubeSat_Unverified_Controller_PID_controller_not_rate_limited_package_Impl_1,6
6UCubeSat_Verified_Controller_Rate_Limited_PID_Controller_Impl_1,6
890-isolette_KSU_Isolette_isolette_dual_sensor_1,3
890-isolette_KSU_Isolette_isolette_dual_sensor_10,3
890-isolette_KSU_Isolette_isolette_dual_sensor_11,3
890-isolette_KSU_Isolette_isolette_dual_sensor_2,3
890-isolette_KSU_Isolette_isolette_dual_sensor_3,3
890-isolette_KSU_Isolette_isolette_dual_sensor_4,3
890-isolette_KSU_Isolette_isolette_dual_sensor_5,41
890-isolette_KSU_Isolette_isolette_dual_sensor_6,41
890-isolette_KSU_Isolette_isolette_dual_sensor_7,3
890-isolette_KSU_Isolette_isolette_dual_sensor_8,3
890-isolette_KSU_Isolette_isolette_dual_sensor_9,41
890-isolette_KSU_Isolette_isolette_single_sensor_1,29
890-isolette_KSU_Isolette_isolette_single_sensor_2,5
890-isolette_KSU_Isolette_isolette_single_sensor_3,41
890-isolette_KSU_Isolette_isolette_single_sensor_4,5
890-isolette_KSU_Isolette_isolette_single_sensor_5,5
890-isolette_KSU_Isolette_operator_interface_impl_1,4
890-isolette_KSU_Isolette_operator_interface_impl_2,4
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_1,11
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_2,11
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_3,41
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_4,41
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_5,15
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_6,11
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_7,11
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_8,11
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1,25
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1,23
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1,23
aadl-book_use_myproperties_integration_without_units_1,5
aadl-book_use_myproperties_integration_with_units_1,5
aadl-bottle-filling_BottleFilling_BottleFillingSystem_impl_1,21
aadl-car-example_CarSystem_MyCar_impl_1,16
aadl-car-example_HardwarePlatform_cc_mcu_dual_1,25
aadl-car-example_HardwarePlatform_cc_mcu_impl_1,25
aadl-car-example_HardwarePlatform_cc_mcu_single_1,25
aadl-car-example_SoftwareApps_CruiseControl_impl_1,15
AADL-Designer_CruiseControl_Cruisecontrollaws_Model_1,2
AADL-Designer_CruiseControl_Cruisecontrol_Generic_1,16
AADL-Designer_CruiseControl_Hci_Model_1,16
AADL-Designer_demo_subsystem_subsystem_test_impl_1,41
aadl-examples_FC_FlightController_Impl_1,11
aadl-examples_FC_FlightController_Impl_2,11
aadl-examples_GS_GroundStation_Impl_1,14
aadl-examples_GS_GroundStation_Impl_2,14
aadl-examples_Hardware_PCB_clock_1,31
aadl-examples_Hardware_PCB_i_1,31
aadl-examples_Hardware_PCB_mp_1,31
aadl-examples_Hardware_PCB_power_1,31
aadl-examples_Human_Machine_Interface_HMI_i_1,31
aadl-examples_iPCA_Context_Open_PCA_Context_i_1,31
aadl-examples_iPCA_Context_Other_Medical_Device_imp_1,26
aadl-examples_iPCA_Control_Panel_Control_Panel_i_1,13
aadl-examples_iPCA_Hardware_PCB_iPCA_i_1,31
aadl-examples_iPCA_Operation_iPCA_Operation_i_1,13
aadl-examples_iPCA_Peripherals_iPCA_Fluid_i_1,39
aadl-examples_iPCA_Power_Power_i_1,5
aadl-examples_MC_MissionComputer_Impl_1,14
aadl-examples_MC_MissionComputer_Impl_2,14
aadl-examples_MC_MissionComputer_Impl_3,14
aadl-examples_Operation_Operation_i_1,39
aadl-examples_Peripherals_Sensors_Actuators_i_1,39
aadl-examples_Security_Security_System_cp_1,13
aadl-examples_Security_Security_System_i_1,13
aadl-examples_Separation_VP_sel4_1,41
aadl-examples_Separation_VP_xen_1,41
aadl-examples_SW_SW_Impl_1,14
aadl-examples_UAS_UAS_Impl_1,14
aadl-examples_UAV_UAV_Impl_1,14
aadl-gumbo_TempControlSoftwareSystem_TempControlSoftwareSystem_isoControl_1,20
aadl-gumbo_TempControlSoftwareSystem_TempControlSoftwareSystem_i_1,10
aadl-m2dl-2019_gears_system_digital_part_dp1_1,13
aadl-map-apps_PCA_Shutoff_PCA_Shutoff_System_imp_1,14
aadl-map-apps_PulseOx_Forwarding_System_PulseOx_Forwarding_System_imp_1,20
AADL-MDSD_myModel_simpleSystem_impl_1,10
AADL-MDSD_sr_system_srs_impl_1,10
aadl-models_emtest_Dependable_System_Notional_1,6
aadl-models_emtest_Subsystem_Notional_1,1
aadl-models_peterexample_main_i_1,20
aadl-models_test_foo_bar_1,41
aadl-networking-refmodel_AFDX_PreSynthesis_AFDX_PreSynthesis_i_1,31
aadl-networking-refmodel_AFDX_PreSynthesis_HW_Platform_i_1,31
aadl-networking-refmodel_AFDX_PreSynthesis_Module_i_1,19
aadl-networking-refmodel_Basic_AFDX_Model_Basic_AFDX_Model_i_1,31
aadl-networking-refmodel_Basic_AFDX_Model_HW_Platform_i_1,31
aadl-networking-refmodel_Basic_AFDX_Model_Module_i_1,19
aadl-networking-refmodel_Software_Layer_Software_Layer_i_1,23
aadl-networking-refmodel_TTE_Model_HW_Platform_i_1,31
aadl-networking-refmodel_TTE_Model_Module_i_1,19
aadl-networking-refmodel_TTE_Model_TTE_Model_i_1,31
aadl-qa_accessconn_gpses_i_1,37
aadl-qa_accessconn_top_i_1,37
aadl-qa_bug155Logi_SysLog_Imp_1,26
aadl-qa_bug155PlatSys_Foo_Imp_1,30
aadl-qa_bug155Plat_SysComp_Imp_1,26
aadl-qa_bug155Plat_SysPlat_Imp_1,30
aadl-qa_CarSystem_carRT_impl_1,30
aadl-qa_connectioninheritance_se_i_1,3
aadl-qa_connectioninheritance_s_i_1,3
aadl-qa_connectioninheritance_top_iext_1,7
aadl-qa_connectioninheritance_top_i_1,7
aadl-qa_connectiontiming_s_i_1,20
aadl-qa_connname_pth_i_1,15
aadl-qa_connname_src_i_1,3
aadl-qa_connname_top_basic_1,7
aadl-qa_emv2_issue8_bus_subsystem_i_1,30
aadl-qa_emv2_issue8_main_i_1,19
aadl-qa_etef_top_i_1,5
aadl-qa_example2_root_impl_1,8
aadl-qa_example_root2_impl_1,8
aadl-qa_flowspeclat_src_i_1,3
aadl-qa_flowspeclat_top_basic_1,7
aadl-qa_issue158_s_i_1,20
aadl-qa_issue164_s_i_1,35
aadl-qa_issue168_App1_impl_1,12
aadl-qa_issue168_App2_impl_1,12
aadl-qa_issue168_SWsystem_impl_1,29
aadl-qa_issue168_topSystem_impl_1,29
aadl-qa_issue171_s_i_1,20
aadl-qa_issue176_SysParent_Imp_1,23
aadl-qa_issue177_SysInverse2ofPFG_Imp_1,39
aadl-qa_issue182_test1_Test2_impl_1,29
aadl-qa_issue182_test1_Test3_impl_1,29
aadl-qa_issue182_test1_Test_impl_1,29
aadl-qa_issue182_test1_Test_Subcompo2_impl_1,41
aadl-qa_issue182_test1_Test_Subcompo3_impl_1,41
aadl-qa_issue182_test1_Test_Subcompo_impl_1,41
aadl-qa_issue182_test2_Test2_impl_1,29
aadl-qa_issue182_test2_Test_impl_1,29
aadl-qa_issue182_test2_Test_Subcompo2_impl_1,35
aadl-qa_issue182_test2_Test_Subcompo_impl_1,41
aadl-qa_issue208_2_gpses_i_1,37
aadl-qa_issue208_2_receiver_i_1,35
aadl-qa_issue208_2_top_i_1,37
aadl-qa_issue208_gpses_i_1,37
aadl-qa_issue208_receiver_i_1,35
aadl-qa_issue208_top_i_1,37
aadl-qa_issue214_top_impl_1,41
aadl-qa_issue236_root_impl_1,10
aadl-qa_issue270_A_test_1,28
aadl-qa_issue277_TestSys_Impl_1,28
aadl-qa_issue289_NavSubsystem_Impl_1,35
aadl-qa_issue291_B_impl2_1,29
aadl-qa_issue291_B_impl3_1,36
aadl-qa_issue291_B_impl_1,29
aadl-qa_issue315_foo_bar_1,18
aadl-qa_issue316_FACE653_DualCore_1,30
aadl-qa_issue317_Network_Imp_1,30
aadl-qa_issue327_root_impl_1,8
aadl-qa_issue59_A_impl_1,10
aadl-qa_issue77_SA_impl_1,30
aadl-qa_KSU_Isolette_isolette_dual_sensor_1,16
aadl-qa_KSU_Isolette_isolette_single_sensor_1,16
aadl-qa_KSU_Isolette_operator_interface_impl_1,1
aadl-qa_KSU_Isolette_thermostat_dual_sensor_impl_1,16
aadl-qa_KSU_Isolette_thermostat_single_sensor_impl_1,16
aadl-qa_nameresolution_se_i_1,3
aadl-qa_nameresolution_s_i_1,3
aadl-qa_nameresolution_top_i_1,7
aadl-qa_Nursery_Room_Normal_Operation_1,16
aadl-qa_plugins_issue002_test_i_1,5
aadl-qa_PositionControl_foo_bar_1,29
aadl-qa_RMAAadl_rma_impl_1,10
aadl-qa_Sunseeker_Dist_Sunseekercontrolsystem_Type_Dist_1,22
aadl-qa_Sunseeker_Local_Sunseekercontrolsystem_Type_Local_1,10
aadl-qa_SYSTEM_IMPLEMENTATION_TC1_T_I_1,35
aadl-qa_test2_s_i_1,36
aadl-qa_test_blackboard_root_impl_1,10
aadl-qa_test_dest_base_1,39
aadl-qa_test_init_base_1,39
aadl-qa_test_lua_lua_impl_1,10
aadl-qa_test_package_refined_isolated_Test_System_impl2_1,25
aadl-qa_test_package_refined_Test_System_impl1_1,25
aadl-qa_test_package_refined_Test_System_impl2_1,25
aadl-qa_test_package_refined_Test_System_impl3_1,25
aadl-qa_test_package_refined_Test_System_impl4_1,25
aadl-qa_test_package_refined_Test_System_impl5_1,25
AADL-Self-driving-car_integration_integration_functional_1,23
AADL-Self-driving-car_integration_integration_functional_2,24
AADL-Self-driving-car_integration_integration_functional_3,24
AADL-Self-driving-car_integration_integration_functional_4,24
AADL-Self-driving-car_integration_integration_hardware_1,24
AADL-Self-driving-car_integration_integration_hardware_2,24
AADL-Self-driving-car_integration_integration_hardware_3,24
aadl-shutter_smartshutter_SmartShutterSystem_impl_1,18
AADL-SmartParkingApplication_InformationServiceProvider_ISP_impl_1,25
AADL-SmartParkingApplication_RSE_RSEOwner_impl_1,23
AADL-SmartParkingApplication_SmartParkingSystem_tispSys_impl_1,23
aadl-sysml_Pilot_Flying_Cross_Channel_Bus_Cross_Channel_Bus_Impl_1,3
aadl-sysml_Pilot_Flying_Pilot_Flying_Pilot_Flying_Impl_1,6
aadl-sysml_Pilot_Flying_Pilot_Flying_Side_Logic_Pilot_Flying_Side_Logic_Impl_1,1
aadl-sysml_Pilot_Flying_Side_Side_Impl_1,6
aadl-sysml_Signals_Fall_Fall_Impl_1,3
aadl-sysml_Signals_Rise_Rise_Impl_1,3
aadl-translator_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_Device_AADL_Test_Abstract_Device_Illegal_Port_Name_impl_1,34
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_Device_AADL_Test_Abstract_Device_Missing_Data_Type_Responder_impl_1,34
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Device_AADL_Test_Abstract_Device_Missing_impl_1,34
aadl-translator_Device_AADL_Test_Abstract_Device_Missing_Ports_Device_AADL_Test_Abstract_Device_Missing_Ports_impl_1,34
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_Credentials_Device_AADL_Test_System_Impl_Property_Missing_Credentials_impl_1,34
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_ManufacturerModel_Device_AADL_Test_System_Impl_Property_Missing_ManufacturerModel_impl_1,34
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_Manufacturer_Device_AADL_Test_System_Impl_Property_Missing_Manufacturer_impl_1,34
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_ModelNumber_Device_AADL_Test_System_Impl_Property_Missing_ModelNumber_impl_1,34
aadl-translator_Device_AADL_Test_System_Impl_Property_Missing_SYSTYPE_Device_AADL_Test_System_Impl_Property_Missing_SYSTYPE_impl_1,34
