Model,Cluster,Component,Feature
6UCubeSat_RTA_Controller_RTA_Controller_Impl_1,7,"DM_sub, UNV_sub, VER_sub","pre_psi1, pre_psi2, pre_psi3, pre_psi4, psi_dot_comm_1, psi_dot_comm_2, psi_dot_comm_3, psi_dot_comm_4, pre_psi1_in, pre_psi2_in, pre_psi3_in, pre_psi4_in, psi_dot_comm_1_verified_in, psi_dot_comm_2_verified_in, psi_dot_comm_3_verified_in, psi_dot_comm_4_verified_in, psi_dot_comm_1_unverified_in, psi_dot_comm_2_unverified_in, psi_dot_comm_3_unverified_in, psi_dot_comm_4_unverified_in, psi_dot_comm_1_dm, psi_dot_comm_2_dm, psi_dot_comm_3_dm, psi_dot_comm_4_dm, pre_psi1, pre_psi2, pre_psi3, pre_psi4, psi_dot_comm_1, psi_dot_comm_2, psi_dot_comm_3, psi_dot_comm_4, pre_psi1, pre_psi2, pre_psi3, pre_psi4, psi_dot_comm_1, psi_dot_comm_2, psi_dot_comm_3, psi_dot_comm_4"
890-isolette_KSU_Isolette_isolette_single_sensor_4,1,"heat_source, temperature_sensor, thermostat","heat_loss, air_temp, on_heater, on_alarm"
890-isolette_KSU_Isolette_isolette_single_sensor_5,1,"heat_source, temperature_sensor, thermostat","heat_loss, air_temp, on_heater, on_alarm"
890-isolette_KSU_Isolette_operator_interface_impl_1,3,"temp_display, status_display, desired_set, alarm_set","display_temp, reg_status, mon_status, lower_desired_temp, upper_desired_temp, lower_alarm_temp, upper_alarm_temp, air_temp, reg_status, mon_status, lower_desired_temp, upper_desired_temp, lower_alarm_temp, upper_alarm_temp"
890-isolette_KSU_Isolette_operator_interface_impl_2,3,"temp_display, status_display, desired_set, alarm_set","display_temp, reg_status, mon_status, lower_desired_temp, upper_desired_temp, lower_alarm_temp, upper_alarm_temp, air_temp, reg_status, mon_status, lower_desired_temp, upper_desired_temp, lower_alarm_temp, upper_alarm_temp"
890-isolette_KSU_Isolette_thermostat_single_sensor_impl_5,1,"regulate_temp, manage_heat_source, monitor_temp, manage_alarm","air_temp, on_heater, on_alarm, current_temp, on_heater, current_temp, on_heater, current_temp, on_alarm, current_temp, on_alarm"
AADL-Architecture-of-Smart-Parking-_InformationServiceProvider_ISP_impl_1,19,"sub_hw_bus, sub_TIC, collection",bus_access
AADL-Architecture-of-Smart-Parking-_RSE_RSEOwner_impl_1,26,"RSE_ElectricChargeSupportProvider, RSE_WorkzoneSafetyProvider, RSE_TravelInformationCommunicationProvider, RSE_TrafficMeteringProvider, RSE_SpeedManagementProvider","RSE_ECSP_data_in, RSE_ECSP_data_out, RSE_WSP_data_in, RSE_WSP_data_out, RSE_TICP_data_in, RSE_TICP_data_out, RSE_TMP_data_in, RSE_TMP_data_out, RSE_SMP_data_in, RSE_SMP_data_out"
AADL-Architecture-of-Smart-Parking-_SmartParkingSystem_tispSys_impl_1,13,"sub_driver, sub_hardwareComm, sub_vehicleOBE, sub_roadsideOBE, sub_parkingManager, sub_RSE_ElectricChargeSupportProvider, sub_RSE_WorkzoneSafetyProvider, sub_RSE_TravelInformationCommunicationProvider, sub_RSE_TrafficMeteringProvider, sub_RSE_SpeedManagementProvider, sub_TIC, collection","signal_in, signal2_in, signal3_in, DriverInfo_input, DriverOut, signal_out, parking_data_received, signal_out, parking_data_received, signal_out, signal_in, RSE_ECSP_data_in, RSE_ECSP_data_out, RSE_WSP_data_in, RSE_WSP_data_out, RSE_TICP_data_in, RSE_TICP_data_out, RSE_TMP_data_in, RSE_TMP_data_out, RSE_SMP_data_in, RSE_SMP_data_out, bus_access"
aadl-bottle-filling_BottleFilling_BottleFillingSystem_impl_1,39,"operator_interface, main_bus, water_pipe, filter, quality_sensor, filling_valve, bottle_sensor, bottle_conveyor, main_ram, control_system, water_input_thread, filling_thread, conveyor_thread, control_thread, operator_input_thread, main_processor, ram","control_commands, water_flow, bus_access, filter_needs_changing, bus_access, water_quality, bus_access, valve_operate, bus_access, bottle_in_place, bottle_full, bus_access, set_conveyor_speed, conveyor_speed, start_stop_conveyor, bus_access, bus_access, control_commands, water_flow, water_quality, set_conveyor_speed, current_conveyor_speed, change_filter_in, valve_operate, bottle_in_place, bottle_full, conveyor_on, water_flow_in, quality_in, water_info_out, filter_in, water_info_in, valve_out, bottle_in_place_in, bottle_full_in, set_conveyor_speed_out, current_conveyor_speed_in, conveyor_on_out, control_commands_in, valve_in, valve_out, conveyor_in, conveyor_out, control_commands_in, control_commands_out, bus_access, bus_access"
