Cluster,Top Topics (LDA)_Clusters,Top Topics (LDA)_Combined
1,"isolette thermostat ksu single sensor, isolette sensor single ksu thermostat","temp alarm current heater manage, heat sensor thermostat temperature loss"
2,"communication aps architecture apscommunication cloudcomponent, qa connectioninheritance top nameresolution se, isolette sensor dual ksu panel, sender authinaadl check resolute dataflow, cwe aaspe security array success, temperature agree aviationrequirementmodeling cooler heater","pin pout sys tin nestpfg, nan datain dataout apsstakeholder tin, dataport trafficmodule aiscommunication internetaccess ship"
3,"gca aps singleton flying pilot, tank aviate control level isolette","temp status desired alarm upper, mph autospd refspd cruiseactive throttlepos, process first second dataout datain, datain eth gnss dataport dataout, process first second dataout datain, latitude distance longitude outimpact inppc"
4,"aps architecture communication isolette smartparking, temperature aviationrequirementmodeling agree smartparking aviation","req info paymt loca personal, envout sensorsflowpath varspeed sensorscontrol envin, data receive engine state action, asc maindataport dataport backup backupdataport, op ctrl status inf vloc, altitude aoa word discrete baro, park space occupancy update req, temperature alarm monitor regulator failure, timetofailure timetorecovery gca tcas geof, selected weapon radar target body"
5,"cruisecontrol block refuel motor pump, aviationrequirementmodeling tcas singleton aviation single","fpadata rawdata compressed access bus, cc ev gear door retracted, timetofailure timetorecovery link access bus, compressed processing raw output ctrlpart, temperature alarm monitor regulator failure, pc part bustype pp compressed, mph refspd cruiseactive nearestintruderaltitude autospd, th true heading acc set"
6,"dronesystem hybridsynchaadl master rendezvous thesis, hybridsynchaadl environment dronecontrol thesis rendezvous","accx accy currvx currvy curry, d2 d1 door warn info, doty dotx vely velx dotdoty, cy cx vy vx ox, currx curry vely velx inx"
7,"ctrl plugin lab csci adventium, temperature agree aviationrequirementmodeling temp control, controller ucubesat package limited pid, arch model example exemplo top","fg write masterdb update read, psi comm dot pre dm, vb sub nan thebus fg, speed detected failure desired inc, th altitude true speed heading, tempin temp user enabled request, env radiation pressure shutdown sensor, po probe status cmd health"
8,"r4 correct aaspe security ftatest, security aaspe incorrect r5 cwe","pe pd nan d2 d1, pr f2 f1 d1 d2"
9,"home smart arch client thermostat, ex air remoteserver control panel","limit alarm warning patient soft, battery desired auto voltage mode, handle general ev pin pout, switch traffic sensor signal nb, status control plugin command current, e2 pt p1 bluetout screenkeyborad, alarm camera motion video magnetic, data sender receiver mcr client, rin pout qin sin rout, ap vp lead ddd ventricular"
10,"security aaspe r1 arch generator, qa issue test receiver subcompo","emergencysignal emergencynotification emergencysignalreceived emergencysignalout emergencysignalin, nan infeat outfeat sc outdataport"
11,"fullspeed iplprojects task tasklibrary simple, view wempty tasklibrary task iplprojects",
12,"polyorb hi producer consumer scenario, scenario consumer producer ocarina hi",
