Cluster,Top 10 Words (TF-IDF),Scores
1,"temp, heat, alarm, heater, loss, sensor, temperature, thermostat, air, source","1.0973064507769719, 1.0961808346105495, 0.8438221276361886, 0.7593273532559275, 0.6513650013539575, 0.6513650013539575, 0.6513650013539575, 0.6513650013539575, 0.5903378044954053, 0.5903378044954053"
2,"pin, sys, dataport, datain, dataout, pout, tin, internetaccess, aiscommunication, trafficmodule","2.2652818750442565, 1.7456303136765996, 1.6008222358742965, 1.4142135623730951, 1.4142135623730951, 1.3074516590094056, 1.172133274294442, 1.0566530465308954, 1.0014017939901225, 1.0014017939901225"
3,"temp, dataport, eth, gnss, datain, mph, dataout, distance, latitude, longitude","1.3914021704740869, 0.9495690462734511, 0.9495690462734511, 0.9495690462734511, 0.9138909696787776, 0.8173078215248349, 0.6971737394470506, 0.6708203932499365, 0.6708203932499365, 0.6708203932499365"
4,"temperature, req, info, traveler, asc, maindataport, loca, update, alarm, personal","2.6283282279640385, 2.4091503689468805, 2.065781651119803, 2.03471131517803, 1.9374299138659126, 1.7372715686421594, 1.6346382069639425, 1.61266167765888, 1.5643612092193835, 1.5075717218845208"
5,"link, bus, mph, access, timetofailure, timetorecovery, nearestintruderaltitude, cc, fpadata, nearestintrudergrounddistance","1.3572456396810448, 1.3267597584542077, 1.2524189497289828, 1.2403240603505215, 1.210965187218744, 1.210965187218744, 0.9616297976819116, 0.8456687525315945, 0.8376775332002591, 0.7940385216994754"
6,"currx, curry, velx, vely, outx, outy, inx, iny, dotx, doty","4.212576003079596, 4.212576003079596, 4.100789749869348, 4.100789749869348, 3.606309912612561, 3.606309912612561, 3.592612430182786, 3.592612430182786, 2.2167132243376835, 2.2167132243376835"
7,"radiation, pressure, env, vb, shutdown, sensor, temp, temperature, high, indicator","2.7309616425722356, 2.727227999126047, 2.435912952143629, 2.372152741782437, 2.129910049094002, 2.083652497532974, 1.990528126056607, 1.9872503841839553, 1.9769085975691887, 1.9769085975691887"
8,"f1, f2, pr, d1, d2, nan, pd, pe, t1, t2","3.4641016151377544, 3.4641016151377544, 3.4641016151377544, 1.7320508075688772, 1.7320508075688772, 1.7320508075688772, 0.6625891564490792, 0.6625891564490792, 0.22086305214969307, 0.22086305214969307"
9,"data, client, e1, mcr, receiver, sender, pout, p1, controller, control","4.27215476522294, 2.9895673757350645, 2.4223796341945434, 2.2729403590621406, 2.13607738261147, 2.13607738261147, 1.6811553344126389, 1.449024194027359, 1.3147595755627732, 1.3115523206405495"
10,"infeat, outfeat, sc, s1, s2, ineventport, myprogsubc, outdataport, outeventport, emergencycommunicationmodule","2.121320343559643, 2.121320343559643, 1.0, 0.7071067811865476, 0.7071067811865476, 0.5, 0.5, 0.5, 0.5, 0.408248290463863"
