Cluster,Clusters Top 10 Words (TF-IDF),Clusters Scores,Combined Top 10 Words (TF-IDF),Combined Scores
1,"isolette, ksu, sensor, single, thermostat","7.239, 3.331, 3.331, 3.331, 3.306","temp, heat, alarm, heater, loss, sensor, temperature, thermostat, air, source","1.097, 1.096, 0.844, 0.759, 0.651, 0.651, 0.651, 0.651, 0.59, 0.59"
2,"isolette, qa, agree, aviationrequirementmodeling, temperature, connectioninheritance, dual, ksu, sensor, nameresolution","6.761, 4.289, 2.615, 2.615, 2.615, 2.479, 2.254, 2.254, 2.254, 2.08","pin, sys, dataport, pout, tin, datain, dataout, nan, internetaccess, aiscommunication","2.265, 1.746, 1.601, 1.307, 1.172, 1.155, 1.155, 1.155, 1.057, 1.001"
3,"gca, singleton, aps, aviationrequirementmodeling, tank, aviation, isolette, vtv, pressurized, aviate","2.868, 2.137, 2.055, 2.008, 1.946, 1.624, 1.512, 1.33, 1.313, 1.087","temp, dataport, eth, gnss, datain, mph, dataout, distance, latitude, longitude","1.391, 0.95, 0.95, 0.95, 0.914, 0.817, 0.697, 0.671, 0.671, 0.671"
4,"smartparking, temperature, aps, aviationrequirementmodeling, aviation, architecture, communication, agree, sensor, isolette","5.424, 3.7, 3.68, 2.968, 2.453, 2.359, 2.359, 2.321, 2.256, 2.21","temperature, req, info, traveler, asc, maindataport, loca, update, alarm, personal","2.628, 2.409, 2.066, 2.035, 1.937, 1.737, 1.635, 1.613, 1.564, 1.508"
5,"tcas, aviationrequirementmodeling, aviation, singleton, single, block, ev, lgs, tpaadl, refuel","9.449, 8.474, 3.96, 3.675, 2.387, 2.141, 1.862, 1.862, 1.862, 1.741","link, bus, mph, access, timetofailure, timetorecovery, nearestintruderaltitude, cc, fpadata, nearestintrudergrounddistance","1.357, 1.327, 1.252, 1.24, 1.211, 1.211, 0.962, 0.846, 0.838, 0.794"
6,"dronecontrol, environment, hybridsynchaadl, drone, master, rendezvous, thesis, dronesystem, fourdronessystem, refdrone","4.504, 4.504, 3.687, 3.586, 3.211, 3.211, 3.211, 2.661, 0.988, 0.886","currx, curry, velx, vely, outx, outy, inx, iny, dotx, doty","4.213, 4.213, 4.101, 4.101, 3.606, 3.606, 3.593, 3.593, 2.217, 2.217"
7,"temperature, ctrl, agree, aviationrequirementmodeling, adventium, csci, gumbo, lab, plugin, controller","3.467, 3.24, 2.67, 2.67, 2.117, 2.117, 2.117, 2.117, 2.117, 1.831","radiation, pressure, env, vb, shutdown, sensor, temp, temperature, high, indicator","2.731, 2.727, 2.436, 2.385, 2.13, 2.084, 1.991, 1.987, 1.977, 1.977"
8,"aaspe, security, incorrect, r5, cwe, correct, r4, requirement, timing, errormodelv","5.95, 5.95, 4.38, 4.035, 3.645, 3.003, 2.882, 1.82, 1.82, 0.707","f1, f2, pr, d1, d2, nan, pd, pe, t1, t2","3.464, 3.464, 3.464, 1.732, 1.732, 1.732, 0.663, 0.663, 0.221, 0.221"
9,"home, smart, air, ex, arch, client, ocarina, maincontrolrouter, remoteserver, model","4.132, 3.867, 3.862, 3.862, 2.599, 2.16, 1.905, 1.744, 1.744, 1.704","data, client, e1, mcr, receiver, sender, pout, p1, controller, control","4.272, 2.99, 2.422, 2.273, 2.136, 2.136, 1.681, 1.449, 1.315, 1.312"
10,"qa, issue, aaspe, security, test, r1, receiver, correct, arch, generator","2.925, 2.349, 1.883, 1.883, 1.639, 1.603, 1.425, 1.09, 0.902, 0.902","nan, infeat, outfeat, sc, s1, s2, ineventport, myprogsubc, outdataport, outeventport","2.038, 1.868, 1.868, 0.965, 0.661, 0.661, 0.5, 0.5, 0.5, 0.5"
11,"view, fullspeed, iplprojects, task, tasklibrary, map, wempty, char, rot, simple","6.776, 6.736, 6.736, 6.736, 6.736, 6.495, 6.451, 4.497, 4.454, 3.977",,
12,"hi, polyorb, consumer, producer, scenario, ocarina","4.242, 4.242, 4.185, 4.185, 4.185, 0.842",,
13,"device, test, missing, property, translator, abstract, noninpulseox, simplecapnograph, simplepca, smartparkingsystem","3.845, 2.751, 2.685, 2.189, 1.757, 1.572, 0.979, 0.979, 0.979, 0.96","d1, status, re, data, rse, sub, setting, metric, spo, signal","2.172, 1.979, 1.796, 1.615, 1.307, 0.958, 0.87, 0.825, 0.66, 0.61"
14,"hi, polyorb, scenario, type","3.5, 3.5, 3.5, 3.5",,
15,"test, hi, polyorb, scenario, flight, management, issue, qa, subcompo, ptest","3.024, 2.672, 2.672, 2.672, 2.084, 2.084, 1.512, 1.512, 1.512, 1.242",,
16,"cmpare, model, bless, integration, collection, toll, mecelearningsystem, payment, positioncontrol, positioncontrolsystem","2.938, 2.739, 1.577, 1.475, 1.45, 1.45, 1.432, 1.395, 1.337, 1.337","get, send, actuatorcommand, positionsetpoint, info, user, port, name, product, engine","5.782, 2.181, 2.016, 2.016, 1.971, 1.904, 1.883, 1.502, 1.409, 1.363"
17,"toll, rap, collection, electronictollcollection, model, scenario, isolette, ocarina, bless, communication","4.136, 3.788, 3.583, 3.583, 2.295, 2.077, 2.077, 1.999, 1.759, 1.687","toll, paymnt, temperature, port, alarm, selected, data, veh, radar, weapon","4.239, 3.593, 2.699, 2.278, 1.833, 1.618, 1.404, 1.37, 1.347, 1.332"
