Cluster,Top 10 Words (TF-IDF)
1,"heat, temp, alarm, heater, air, loss, nan, sensor, temperature, thermostat"
2,"pin, sys, tin, pout, internetaccess, aiscommunication, datain, dataout, rdatain, sdataout"
3,"temp, dataport, eth, gnss, mph, datain, alarm, desired, status, dataout"
4,"temperature, req, info, traveler, loca, update, asc, personal, paymt, monitor"
5,"access, bus, timetofailure, timetorecovery, mph, link, cc, nearestintruderaltitude, fpadata, refspd"
6,"currx, curry, velx, vely, outx, outy, inx, iny, dotx, doty"
7,"temp, pressure, radiation, env, shutdown, indicator, subin, subout, temperature, request"
8,"se, pr, nan, dd, pd, pe, ptpe"
9,"data, pe, client, receiver, sender, control, mcr, pout, traffic, desired"
10,"infeat, outfeat, rinfeat, soutfeat, se, sf, nan, sc, scf, emergencysignal"
13,"nan, status, re, data, sub, rse, setting, metric, spo, req"
16,"get, info, user, positionsetpoint, port, name, actuatorcommand, seller, uget, email"
17,"toll, paymnt, temperature, soft, port, data, selected, monitor, veh, alarm"
18,"power, canbusaccess, sensorin, potencia, dcshwcanbusaccess, actuatorout, nan, sensorcanbusaccess, dcsdcacanbusaccess, dcasensorin"
19,"power, pci, sensorin, bus, canbus, pcibus, canbusaccess, dcshwcanbus, afdx, actuatorout"
20,"mybus, rmybus, smybus, imybus, ba, bus, controllerp, bpin, bpm, bpout"
21,"bus, comp, access, db, proc, procbus, connector, card, sub, heat"
22,"datain, dataout, rdatain, sdataout, thebus, node, http, intermediate, intermediatedatain, intermediatedataout"
23,"outport, port, inport, main, processsubthreadport, sub, fromapport, mph, subthread, process"
24,"inp, outp, ptinp, ptoutp, aoutp, binp, mysink, mysinkinp, mysrc, mysrcoutp"
26,"nicteamingteamedeth, nicteamingveth, et, eth, nan, asc, main, veth, digitallogbookdataport, dataport"
27,"eth, spueth, asc, maindataport, dataport, controlport, external, interrupt, backupdataport, gnss"
30,"se, nan"
31,"edge, ledge, nan"
35,"threadp, per, order, step, po, spo, actstep, commanded, completed, done"
36,"data, sink, source, con, prod, runtime, port, ping, cpu, medata"
37,"input, output, altitude, thread, conn, transporter, transporterinput, transporteroutput, request, response"
38,"oute, gps, ba, gpsoute, ine, rine, port, temp, desired, thermostat"
39,"bus, data, wire, input, output, meas, access, serial, dev, phase"
40,"valuein, speed, valueout, data, sensor, access, bus, net, vme, distance"
41,"uart, alarm, data, ph, status, send, hw, radio, echo, recv"
42,"spo, ined, outed, alarm, derivedalarm, pulseoxspo, db, compute, computetstepined, computetstepouted"
43,"command, position, data, disengage, engage, fg, heat, rate, observation, wakeup"
44,"sensorin, acc, process, actuatorout, samplingin, senseout, proc, iopsensesignalout, appsamplingin, key"
