Column,Word,Count
Component,this,371
Component,sensor,215
Component,cpu,199
Component,bus,190
Component,th,174
Component,data,172
Component,thread,148
Component,asc,148
Component,controller,97
Component,dv,96
Component,process,89
Component,hw,84
Component,control,79
Component,interrupt,72
Component,main,71
Component,mem,70
Component,ram,68
Component,a,67
Component,manager,67
Component,b,66
Component,p,65
Component,proc,64
Component,manage,62
Component,c,58
Component,the,56
Feature,data,906
Feature,in,744
Feature,input,577
Feature,eth,558
Feature,out,552
Feature,output,529
Feature,bus,519
Feature,power,503
Feature,status,349
Feature,alarm,342
Feature,to,324
Feature,acc,318
Feature,temperature,305
Feature,send,265
Feature,sensorin,260
Feature,speed,238
Feature,get,214
Feature,port,211
Feature,dataport,202
Feature,canbusaccess,198
Feature,message,191
Feature,altitude,190
Feature,request,185
Feature,selected,185
Feature,access,184
ConnectionInstance,this,1165
ConnectionInstance,bus,1133
ConnectionInstance,data,853
ConnectionInstance,soft,554
ConnectionInstance,in,462
ConnectionInstance,out,352
ConnectionInstance,to,303
ConnectionInstance,temperature,299
ConnectionInstance,status,274
ConnectionInstance,input,263
ConnectionInstance,power,247
ConnectionInstance,speed,245
ConnectionInstance,proc,245
ConnectionInstance,monitor,237
ConnectionInstance,compcoda,235
ConnectionInstance,output,218
ConnectionInstance,spueth,209
ConnectionInstance,temperaturemanage,200
ConnectionInstance,main,197
ConnectionInstance,acc,192
ConnectionInstance,access,191
ConnectionInstance,alarm,177
ConnectionInstance,vehicle,177
ConnectionInstance,process,175
ConnectionInstance,c,175
