Column,Word,Count
Component,sensor,215
Component,cpu,199
Component,bus,190
Component,th,174
Component,data,172
Component,thread,148
Component,asc,148
Component,controller,97
Component,dv,96
Component,process,89
Component,hw,84
Component,control,79
Component,interrupt,72
Component,mem,70
Component,ram,68
Component,manager,67
Component,b,66
Component,p,65
Component,proc,64
Component,manage,62
Component,c,58
Component,sense,56
Component,monitor,55
Component,radar,53
Component,processor,52
Feature,data,906
Feature,input,577
Feature,eth,558
Feature,output,529
Feature,bus,519
Feature,power,503
Feature,status,349
Feature,alarm,342
Feature,acc,318
Feature,temperature,305
Feature,send,265
Feature,sensorin,260
Feature,speed,238
Feature,get,214
Feature,port,211
Feature,dataport,202
Feature,canbusaccess,198
Feature,message,191
Feature,altitude,190
Feature,request,185
Feature,selected,185
Feature,access,184
Feature,desired,183
Feature,current,170
Feature,position,169
