Model,Cluster,Component,Feature
ucubesat rta controller rta controller,7,dm sub unv sub ver sub,pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm pre psi pre psi pre psi pre psi psi dot comm verified psi dot comm verified psi dot comm verified psi dot comm verified psi dot comm unverified psi dot comm unverified psi dot comm unverified psi dot comm unverified psi dot comm dm psi dot comm dm psi dot comm dm psi dot comm dm pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm
isolette ksu isolette isolette single sensor,1,heat source temperature sensor thermostat,heat loss air temp heater alarm
isolette ksu isolette isolette single sensor,1,heat source temperature sensor thermostat,heat loss air temp heater alarm
isolette ksu isolette operator interface,3,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp
isolette ksu isolette operator interface,3,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp
isolette ksu isolette thermostat single sensor,1,regulate temp manage heat source monitor temp manage alarm,air temp heater alarm current temp heater current temp heater current temp alarm current temp alarm
architecture smart parking informationserviceprovider isp,19,sub hw bus sub tic collection,bus access
architecture smart parking rse rseowner,26,rse electricchargesupportprovider rse workzonesafetyprovider rse travelinformationcommunicationprovider rse trafficmeteringprovider rse speedmanagementprovider,rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data
architecture smart parking smartparkingsystem tispsys,13,sub driver sub hardwarecomm sub vehicleobe sub roadsideobe sub parkingmanager sub rse electricchargesupportprovider sub rse workzonesafetyprovider sub rse travelinformationcommunicationprovider sub rse trafficmeteringprovider sub rse speedmanagementprovider sub tic collection,signal signal signal driverinfo input driverout signal parking data received signal parking data received signal signal rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data bus access
bottle filling bottlefilling bottlefillingsystem,39,operator interface bus water pipe filter quality sensor filling valve bottle sensor bottle conveyor ram control water input thread filling thread conveyor thread control thread operator input thread processor ram,control command water flow bus access filter need changing bus access water quality bus access valve operate bus access bottle place bottle full bus access set conveyor speed conveyor speed start stop conveyor bus access bus access control command water flow water quality set conveyor speed current conveyor speed change filter valve operate bottle place bottle full conveyor water flow quality water info filter water info valve bottle place bottle full set conveyor speed current conveyor speed conveyor control command valve valve conveyor conveyor control command control command bus access bus access
car example carsystem mycar,40,ui ud wrs bp act cc computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop cc mcu canbus ram cpu,ui cc ud cc wrs cc bp cc act cc cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed canba pciba canba pciba
car example hardwareplatform cc mcu dual,19,bus pci bus ram rom power pc,canba pciba pciba canba pciba
car example hardwareplatform cc mcu,19,canbus ram cpu,canba pciba canba pciba
car example hardwareplatform cc mcu single,19,bus pci bus ram rom power pc,canba pciba pciba canba pciba
car example softwareapps cruisecontrol,5,computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc port computevelocityprocess compute velocity speedcontrolloopprocess speed control loop,cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed
designer cruisecontrol cruisecontrollaws model,3,p cruisecontrol process cruise cruise,cruiseactive refspd mph autospd mph throttlepos cruiseactive refspd mph autospd mph throttlepos cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos
designer cruisecontrol cruisecontrol generic,5,lan hci processor ccl processor hci p hci process buttonpanel drivermodelogic refspd instrumentpanel cruisecontrollaws p cruisecontrol process cruise cruise,breakpedalpressed clutchpedalpressed autospd mph engspd rpm throttlepos b lan b lan breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph cruiseactive refspd mph autospd mph throttlepos cruiseactive refspd mph autospd mph throttlepos cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos
designer cruisecontrol hci model,5,p hci process buttonpanel drivermodelogic refspd instrumentpanel,breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph breakpedalpressed clutchpedalpressed autospd mph engspd rpm cruiseactive refspd mph activate cancel onnotoff incspeed decspd breakpedalpressed clutchpedalpressed activate cancel onnotoff cruiseactive activate cruiseactive incspeed decspd refspd mph autospd mph engspd rpm refspd mph
example fc flightcontroller,41,gps,uart uart recv uart send position
example fc flightcontroller,41,gps,uart uart recv uart send position
example g groundstation,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data recv data send data send data gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa
example g groundstation,41,bus hw radio hw mem hw proc sw radiodriver sendmessagesservicegs proc hw,rfa radio recv radio send recv data recv data send data send data gsa rfa gsa recv data send data recv data send data automationrequest operatingregion linesearchtask operatingregion linesearchtask automationrequest gsa
example hardware pcb clock,19,bus maintenance nic timer ebc cpu ram rom hmi power bus power internal maintenance bus clock controller,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus cpu clock nic clock mp clock dc clock sc clock clk pwr
example hardware pcb,19,bus maintenance nic timer ebc cpu ram rom hmi,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch
example hardware pcb mp,19,bus maintenance nic timer ebc cpu ram rom hmi power bus power internal maintenance bus,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus
example hardware pcb power,19,bus maintenance nic timer ebc cpu ram rom hmi power bus power,sense ui touch act ui image ui sound connector serial bus usb bus lvds bus hdmi bus vga bus ethernet maintenance bus maintenance bus provision bus bus power supply mp clock mtm bus bus ethernet power supply nic clock mtm bus bus peripheral power bus serial bus usb bus lvds bus power supply bus mtm bus gpio cpu clock power supply bus power supply mtm bus bus power supply mtm bus bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch power supply bus peripheral power mtm bus
example human machine interface hmi,39,t dc sp sc,bus power supply dc clock sc clock mtm bus hdmi bus vga bus ui image ui sound ui touch ui image image ui touch finger location bus video bus dc clock power supply mtm bus hdmi bus vga bus audio bus sound bus audio bus power supply sc clock mtm bus
