Model,Cluster,Component,Feature
ucubesat rta controller rta controller ,7,dm sub unv sub ver sub,pre psi pre psi pre psi pre psi psi dot comm  psi dot comm  psi dot comm  psi dot comm  pre psi in pre psi in pre psi in pre psi in psi dot comm  verified in psi dot comm  verified in psi dot comm  verified in psi dot comm  verified in psi dot comm  unverified in psi dot comm  unverified in psi dot comm  unverified in psi dot comm  unverified in psi dot comm  dm psi dot comm  dm psi dot comm  dm psi dot comm  dm pre psi pre psi pre psi pre psi psi dot comm  psi dot comm  psi dot comm  psi dot comm  pre psi pre psi pre psi pre psi psi dot comm  psi dot comm  psi dot comm  psi dot comm 
 isolette ksu isolette isolette single sensor ,1,heat source temperature sensor thermostat,heat loss air temp on heater on alarm
 isolette ksu isolette isolette single sensor ,1,heat source temperature sensor thermostat,heat loss air temp on heater on alarm
 isolette ksu isolette operator interface ,3,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp
 isolette ksu isolette operator interface ,3,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp
 isolette ksu isolette thermostat single sensor ,1,regulate temp manage heat source monitor temp manage alarm,air temp on heater on alarm current temp on heater current temp on heater current temp on alarm current temp on alarm
architecture of smart parking informationserviceprovider isp ,19,sub hw bus sub tic collection,bus access
architecture of smart parking rse rseowner ,26,rse electricchargesupportprovider rse workzonesafetyprovider rse travelinformationcommunicationprovider rse trafficmeteringprovider rse speedmanagementprovider,rse ecsp data in rse ecsp data out rse wsp data in rse wsp data out rse ticp data in rse ticp data out rse tmp data in rse tmp data out rse smp data in rse smp data out
architecture of smart parking smartparkingsystem tispsys ,13,sub driver sub hardwarecomm sub vehicleobe sub roadsideobe sub parkingmanager sub rse electricchargesupportprovider sub rse workzonesafetyprovider sub rse travelinformationcommunicationprovider sub rse trafficmeteringprovider sub rse speedmanagementprovider sub tic collection,signal in signal in signal in driverinfo input driverout signal out parking data received signal out parking data received signal out signal in rse ecsp data in rse ecsp data out rse wsp data in rse wsp data out rse ticp data in rse ticp data out rse tmp data in rse tmp data out rse smp data in rse smp data out bus access
bottle filling bottlefilling bottlefillingsystem ,39,operator interface bus water pipe filter quality sensor filling valve bottle sensor bottle conveyor ram control water input thread filling thread conveyor thread control thread operator input thread processor ram,control commands water flow bus access filter needs changing bus access water quality bus access valve operate bus access bottle in place bottle full bus access set conveyor speed conveyor speed start stop conveyor bus access bus access control commands water flow water quality set conveyor speed current conveyor speed change filter in valve operate bottle in place bottle full conveyor on water flow in quality in water info out filter in water info in valve out bottle in place in bottle full in set conveyor speed out current conveyor speed in conveyor on out control commands in valve in valve out conveyor in conveyor out control commands in control commands out bus access bus access
car example carsystem mycar ,40,ui ud wrs bp act cc computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc ports computevelocityprocess compute velocity speedcontrolloopprocess speed control loop cc mcu canbus ram cpu,ui cc ud cc wrs cc bp cc act cc cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed canba pciba canba pciba
car example hardwareplatform cc mcu dual ,19,can bus pci bus ram rom power pc,canba pciba pciba canba pciba
car example hardwareplatform cc mcu ,19,canbus ram cpu,canba pciba canba pciba
car example hardwareplatform cc mcu single ,19,can bus pci bus ram rom power pc,canba pciba pciba canba pciba
car example softwareapps cruisecontrol ,5,computethrottlesettingprocess compute throttle setting scanccinputprocess scan cc ports computevelocityprocess compute velocity speedcontrolloopprocess speed control loop,cc ui cc ud cc wrs cc bp cc ca cc desired speed cc throttle setting desired speed throttle setting cc wrs cc bp cc run brake status wheel pulse run cc cc wrs cc inst velocity wheel pulse inst velocity cc run cc cc inst velocity cc desired speed run cc inst velocity desired speed
designer cruisecontrol cruisecontrollaws model ,3,p cruisecontrol process t cruise t cruise,cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph throttlepos in cruiseactive refspd mph autospd mph filautospd mph filrefspd mph filautospd mph filrefspd mph throttlepos in
