Model,Component,Feature,ConnectionInstance
ucubesat rta controller rta controller,dm sub unv sub ver sub,pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm pre psi pre psi pre psi pre psi psi dot comm verified psi dot comm verified psi dot comm verified psi dot comm verified psi dot comm unverified psi dot comm unverified psi dot comm unverified psi dot comm unverified psi dot comm dm psi dot comm dm psi dot comm dm psi dot comm dm pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm pre psi pre psi pre psi pre psi psi dot comm psi dot comm psi dot comm psi dot comm,pre psi dm subpre psi pre psi ver subpre psi pre psi unv subpre psi pre psi dm subpre psi pre psi ver subpre psi pre psi unv subpre psi pre psi dm subpre psi pre psi ver subpre psi pre psi unv subpre psi pre psi dm subpre psi pre psi ver subpre psi pre psi unv subpre psi dm subpsi dot comm dm psi dot comm dm subpsi dot comm dm psi dot comm dm subpsi dot comm dm psi dot comm dm subpsi dot comm dm psi dot comm unv subpsi dot comm dm subpsi dot comm unverified unv subpsi dot comm dm subpsi dot comm unverified unv subpsi dot comm dm subpsi dot comm unverified unv subpsi dot comm dm subpsi dot comm unverified ver subpsi dot comm dm subpsi dot comm verified ver subpsi dot comm dm subpsi dot comm verified ver subpsi dot comm dm subpsi dot comm verified ver subpsi dot comm dm subpsi dot comm verified
isolette ksu isolette isolette single sensor,heat source temperature sensor thermostat,heat loss air temp heater alarm,
isolette ksu isolette isolette single sensor,heat source temperature sensor thermostat,heat loss air temp heater alarm,
isolette ksu isolette operator interface,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp,display temp temp displayair temp reg status status displayreg status mon status status displaymon status desired setlower desired temp lower desired temp desired setupper desired temp upper desired temp alarm setlower alarm temp lower alarm temp alarm setupper alarm temp upper alarm temp
isolette ksu isolette operator interface,temp display status display desired set alarm set,display temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp air temp reg status mon status lower desired temp upper desired temp lower alarm temp upper alarm temp,display temp temp displayair temp reg status status displayreg status mon status status displaymon status desired setlower desired temp lower desired temp desired setupper desired temp upper desired temp alarm setlower alarm temp lower alarm temp alarm setupper alarm temp upper alarm temp
isolette ksu isolette thermostat single sensor,regulate temp manage heat source monitor temp manage alarm,air temp heater alarm current temp heater current temp heater current temp alarm current temp alarm,air temp regulate tempmanage heat sourcecurrent temp air temp monitor tempmanage alarmcurrent temp regulate tempmanage heat sourceon heater heater monitor tempmanage alarmon alarm alarm
architecture smart parking informationserviceprovider isp,sub hw bus sub tic collection,bus access,sub hw bus sub ticbus access
architecture smart parking rse rseowner,rse electricchargesupportprovider rse workzonesafetyprovider rse travelinformationcommunicationprovider rse trafficmeteringprovider rse speedmanagementprovider,rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data,
architecture smart parking smartparkingsystem tispsys,sub driver sub hardwarecomm sub vehicleobe sub roadsideobe sub parkingmanager sub rse electricchargesupportprovider sub rse workzonesafetyprovider sub rse travelinformationcommunicationprovider sub rse trafficmeteringprovider sub rse speedmanagementprovider sub tic collection,signal signal signal driverinfo input driverout signal parking data received signal parking data received signal signal rse ecsp data rse ecsp data rse wsp data rse wsp data rse ticp data rse ticp data rse tmp data rse tmp data rse smp data rse smp data bus access,signal sub rse electricchargesupportproviderrse ecsp data signal sub rse travelinformationcommunicationproviderrse ticp data signal sub parkingmanagersignal sub hardwarecomm sub ticbus access sub parkingmanagersignal sub driverdriverinfo input sub rse electricchargesupportproviderrse ecsp data sub roadsideobeparking data received sub rse travelinformationcommunicationproviderrse ticp data sub vehicleobeparking data received
bottle filling bottlefilling bottlefillingsystem,operator interface main bus water pipe filter quality sensor filling valve bottle sensor bottle conveyor main ram control system water input thread filling thread conveyor thread control thread operator input thread main processor ram,control command water flow bus access filter need changing bus access water quality bus access valve operate bus access bottle place bottle full bus access set conveyor speed conveyor speed start stop conveyor bus access bus access control command water flow water quality set conveyor speed current conveyor speed change filter valve operate bottle place bottle full conveyor water flow quality water info filter water info valve bottle place bottle full set conveyor speed current conveyor speed conveyor control command valve valve conveyor conveyor control command control command bus access bus access,water input threadwater info filling threadwater info filling threadvalve control threadvalve conveyor threadconveyor control threadconveyor operator input threadcontrol command control threadcontrol command operator interfacecontrol command control systemoperator input threadcontrol command main bus water pipebus access main bus filterbus access main bus quality sensorbus access main bus filling valvebus access main bus bottle sensorbus access main bus bottle conveyorbus access main bus main processorbus access main bus main rambus access water pipewater flow control systemwater input threadwater flow filterfilter need changing control systemwater input threadfilter quality sensorwater quality control systemwater input threadquality bottle sensorbottle place control systemfilling threadbottle place bottle sensorbottle full control systemfilling threadbottle full bottle conveyorconveyor speed control systemconveyor threadcurrent conveyor speed main rambus access main bus control systemconveyor threadset conveyor speed bottle conveyorset conveyor speed control systemcontrol threadvalve filling valvevalve operate control systemcontrol threadconveyor bottle conveyorstart stop conveyor
