Model,Cluster
ucubesat decision module decision module controller,5
ucubesat rate limited pid controller rate limited pid controller,5
ucubesat rta controller rta controller,7
ucubesat unverified controller pid controller rate limited package,7
ucubesat verified controller rate limited pid controller,7
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor 10,2
isolette ksu isolette isolette dual sensor 11,2
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor,34
isolette ksu isolette isolette dual sensor,34
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor,2
isolette ksu isolette isolette dual sensor,34
isolette ksu isolette isolette single sensor,34
isolette ksu isolette isolette single sensor,38
isolette ksu isolette isolette single sensor,34
isolette ksu isolette isolette single sensor,1
isolette ksu isolette isolette single sensor,1
isolette ksu isolette operator interface,3
isolette ksu isolette operator interface,3
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
isolette ksu isolette thermostat single sensor,1
architecture smart parking informationserviceprovider isp,19
architecture smart parking rse rseowner,26
architecture smart parking smartparkingsystem tispsys,13
book use myproperties integration without units,38
book use myproperties integration units,38
bottle filling bottlefilling bottlefillingsystem,39
car example carsystem mycar,40
car example hardwareplatform cc mcu dual,19
car example hardwareplatform cc mcu,19
car example hardwareplatform cc mcu single,19
car example softwareapps cruisecontrol,5
designer cruisecontrol cruisecontrollaws model,3
designer cruisecontrol cruisecontrol generic,5
designer cruisecontrol hci model,5
designer demo test,29
examples fc flightcontroller,41
examples fc flightcontroller,41
examples gs groundstation,41
examples gs groundstation,41
examples hardware pcb clock,19
examples hardware pcb,19
examples hardware pcb mp,19
examples hardware pcb power,19
examples human machine interface hmi,39
examples ipca context open pca context,43
examples ipca context medical device imp,18
examples ipca control panel control panel,9
examples ipca hardware pcb ipca,19
examples ipca operation ipca operation,43
examples ipca peripherals ipca fluid,43
examples ipca power power,9
examples mc missioncomputer,41
examples mc missioncomputer,41
examples mc missioncomputer,41
examples operation operation,43
examples peripherals sensors actuators,43
examples security security cp,44
examples security security,44
examples separation vp sel,17
examples separation vp xen,27
examples sw sw,44
examples uas uas,41
examples uav uav,41
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem isocontrol,44
gumbo tempcontrolsoftwaresystem tempcontrolsoftwaresystem,44
mdl gears digital part dp,5
map apps pca shutoff pca shutoff imp,42
map apps pulseox forwarding pulseox forwarding imp,42
mdsd mymodel simplesystem,35
mdsd sr srs,35
models emtest dependable notional,7
models emtest notional,10
models peterexample,8
models test foo bar,39
networking refmodel afdx presynthesis afdx presynthesis,19
networking refmodel afdx presynthesis hw platform,19
networking refmodel afdx presynthesis module,19
networking refmodel basic afdx model basic afdx model,19
networking refmodel basic afdx model hw platform,19
networking refmodel basic afdx model module,19
networking refmodel software layer software layer,26
networking refmodel tte model hw platform,19
networking refmodel tte model module,19
networking refmodel tte model tte model,19
qa accessconn gpses,38
qa accessconn top,38
qa buglogi syslog imp,18
qa bugplatsys foo imp,18
qa bugplat syscomp imp,18
qa bugplat sysplat imp,18
qa carsystem carrt,18
qa connectioninheritance se,2
qa connectioninheritance,2
qa connectioninheritance top iext,2
qa connectioninheritance top,2
qa connectiontiming,24
qa connname pth,26
qa connname src,2
qa connname top basic,24
qa emv issue bus,20
qa emv issue,19
qa etef top,38
qa example root,36
qa example root,36
qa flowspeclat src,2
qa flowspeclat top basic,24
qa issue,24
qa issue,9
qa issue app,23
qa issue app,23
qa issue swsystem,23
qa issue topsystem,23
qa issue,24
qa issue sysparent imp,26
qa issue sysinverseofpfg imp,2
qa issue test test,29
qa issue test test,29
qa issue test test,29
qa issue test test subcompo,15
qa issue test test subcompo,15
qa issue test test subcompo,15
qa issue test test,16
qa issue test test,29
qa issue test test subcompo,10
qa issue test test subcompo,15
qa issue gpses,38
qa issue receiver,10
qa issue top,38
qa issue gpses,38
qa issue receiver,10
qa issue top,38
qa issue top,32
qa issue root,44
qa issue test,29
qa issue testsys,7
qa issue navsubsystem,10
qa issue b impl,18
qa issue b impl,10
qa issue b,18
qa issue foo bar,39
qa issue face dualcore,20
qa issue network imp,20
qa issue root,36
qa issue,44
qa issue sa,20
qa ksu isolette isolette dual sensor,4
qa ksu isolette isolette single sensor,4
qa ksu isolette operator interface,4
qa ksu isolette thermostat dual sensor,5
qa ksu isolette thermostat single sensor,4
qa nameresolution se,2
qa nameresolution,2
qa nameresolution top,2
qa nursery room normal operation,4
qa plugins issue test,38
qa positioncontrol foo bar,39
qa rmaaadl rma,35
qa sunseeker dist sunseekercontrolsystem type dist,21
qa sunseeker local sunseekercontrolsystem type local,35
qa implementation tc,10
qa test,10
qa test blackboard root,36
qa test dest base,43
qa test init base,43
qa test lua lua,35
qa test package refined isolated test impl,21
qa test package refined test impl,21
qa test package refined test impl,21
qa test package refined test impl,21
qa test package refined test impl,21
qa test package refined test impl,21
self driving car integration integration functional,40
self driving car integration integration functional,40
self driving car integration integration functional,40
self driving car integration integration functional,40
self driving car integration integration hardware,40
self driving car integration integration hardware,40
self driving car integration integration hardware,40
shutter smartshutter smartshuttersystem,4
smartparkingapplication informationserviceprovider isp,21
smartparkingapplication rse rseowner,44
smartparkingapplication smartparkingsystem tispsys,13
sysml pilot flying cross channel bus cross channel bus,3
sysml pilot flying pilot flying pilot flying,22
sysml pilot flying pilot flying side logic pilot flying side logic,3
sysml pilot flying side side,22
sysml signals fall fall,3
sysml signals rise rise,2
translator device test abstract device illegal port name device test abstract device illegal port name,13
translator device test abstract device missing data type responder device test abstract device missing data type responder,13
translator device test abstract device missing device test abstract device missing,13
translator device test abstract device missing ports device test abstract device missing ports,13
translator device test property missing credentials device test property missing credentials,13
translator device test property missing manufacturermodel device test property missing manufacturermodel,13
translator device test property missing manufacturer device test property missing manufacturer,13
translator device test property missing modelnumber device test property missing modelnumber,13
translator device test property missing systype device test property missing systype,13
translator noninpulseox noninpulseox,13
translator pulseox forwarding bidirectional pulseox forwarding bidirectional imp,42
translator pulseox forwarding devtodev pulseox forwarding devtodev imp,42
translator pulseox forwarding duplicate duplicate imp,32
translator pulseox forwarding duplicate pulseox forwarding duplicate imp,42
translator pulseox forwarding pulseox forwarding imp,42
translator pulseox forwarding pulseox forwarding imp,42
translator pulseox incdataport pulseox forwarding imp,42
translator simplecapnograph simplecapnograph,13
translator simplepca simplepca,13
tutorial syst securitysystem devices,9
wobbuloscope wobbuloscope wobbuloscope,40
aadluppaal bouncing ball sys ball,13
adiru adiru deos,44
adiru adiru emv,44
adiru adiru,44
adiru adiru vxworks,44
aocs aocs,40
arincexample arincsystem,19
arincexample module,36
arincexample module,36
autopilot subsys mcu,40
avionicsbusmanagers avionicsbusmgr xps,36
blocks fpa block without runtime,4
blocks fpa block runtime,5
blocks memory management eight links,5
blocks memory management two links,5
blocks obc,5
car car,44
dms door management imp,6
emaxxv power distrib emaxxv power,39
emaxxv emaxxv,39
flight control fcs,41
flowlatencydata application allperiodicdelayed,42
flowlatencydata topsystem distributedallperiodicdelayed,42
flowlatencysampleddata application alldatadriven,42
flowlatencysampleddata application allperiodicsampled,42
flowlatencysampleddata hardwareplatform dual,21
flowlatencysampleddata hardwareplatform single,21
flowlatencysampleddata topsystem alldatadriven,42
flowlatencysampleddata topsystem allperiodicsampled,42
flowlatencysampleddata topsystem distributedalldatadriven,42
flybywire subsys mcu,39
fms fms,41
hello world hello,36
hello world hello,36
isr ticker,9
ardupilot ardupilot map,38
ardupilot ardupilot shield,38
mars pathfinder sys mars pathfinder correct,40
mars pathfinder sys mars pathfinder,40
minepump ba minepump,44
minepump minepump,44
minirocket minirocket,39
mixin demo,38
modevva modevva,36
pacemaker pkg devicecontrollermonitor others,9
paparazzi airborne,39
paparazzi paparazzi basic archi,39
paparazzi paparazzi pnp tasks interruptions,39
paparazzi paparazzi pp tasks ap interruptions,39
paparazzi paparazzi pp tasks interruptions,39
partitionedsystemexample arincsystem,36
perseus perseus rocket impl,38
perseus perseus rocket master,38
ping ping ima,36
prodcons vxworks,36
quadrirotorv arm,39
quadrirotorv arm,39
quadrirotorv quadrirotorv,39
quadrirotorv quadrirotorv,39
radar radar simple,40
rap code rap native,17
rap rap erc ork,17
rap rap generic,17
rap rap leon ork,17
rap rap leon rtems,17
rap rap native,4
ravenscar example case study leon local,44
rmaaadl rma,35
robot ba robot,44
robot lf line follower robot,38
robot robot,44
round robin rr nopreempt,36
round robin rr preempt,36
satellite obmu,41
smp smp,36
stmdiscovery ada blinky,35
m1,41
m2,41
m3,41
m4,41
time triggered tt,36
traxsterv traxsterv,39
aadlmodel homesecuritysystem hss securitysystem devices,39
aadlmodel smartthermostat thermostat arch generator,10
aadlmodel smartthermostat thermostat arch temp sensor,5
aadlmodel smartthermostat thermostat arch thermostat controller,9
aadlmodel smartthermostat thermostat arch thermostat,38
smartparking communicationsupport,44
smartparking driver,3
smartparking parkelecpaymt,4
smartparking parkingsystem,44
smartparking parkmgmtsys,4
smartparking parkmgmt,4
smartparking persinfodev,4
smartparking persinteractvtravinfo,4
smartparking personallocmanagement,4
smartparking roadsideequip,4
smartparking roadsideinforeception,44
smartparking rseparkmgmt,4
smartparking smartparkingsystem,17
smartparking ticdatacoll,4
smartparking ticinteractvtravinfo,4
smartparking transinfoctr,17
smartparking vehbasesafe,5
smartparking vehicleobe,4
speedwrisic roadassistanceits,4
speedwrisic rsequip,5
speedwrisic speed,4
speedwrisic tminfo,4
speedwrisic vehicletransit,17
vtv remotevehicleobe,3
vtv transoperator,3
vtv transvobe,4
vtv vehicletransitsystem,4
aadlv issue 16 child,43
aadlv issue 16 parent,43
aadlvending sterownik vendingmachinesterownik devices,39
aadlvending sterownik vendingmachinesterownik devices,39
architecture marspathfinder pt simple,36
fees board stm stml discovery,19
fees fees fees,19
ils project ils ils,43
model bankomat atmsystem devices,39
raspberry smacz humanactivitymonitoringsystem,40
aaspe automotive car cherokee,19
aaspe automotive integration attack,19
aaspe automotive integration,19
aaspe security cwe correct,10
aaspe security cwe incorrect,8
aaspe security cwe,8
aaspe security cwe failure,22
aaspe security cwe,22
aaspe security cwe success,22
aaspe security cwe success,22
aaspe security cwe correct,8
aaspe security cwe incorrect,8
aaspe security cwe,8
aaspe security cwe failure array,22
aaspe security cwe failure float,22
aaspe security cwe failure int,2
aaspe security cwe success array,2
aaspe security cwe success float,22
aaspe security cwe success int,22
aaspe security r0 correct,20
aaspe security r0 incorrect,20
aaspe security r0,20
aaspe security r1 correct,10
aaspe security r1 incorrect,10
aaspe security r1,10
aaspe security r2 correct,19
aaspe security r2 incorrect,19
aaspe security r2,19
aaspe security r3 correct,19
aaspe security r3 correct,19
aaspe security r3 incorrect,19
aaspe security r3 incorrect,19
aaspe security r3,19
aaspe security r4 correct,8
aaspe security r4 correct,8
aaspe security r4 incorrect,8
aaspe security r4,8
aaspe security r5 correct,8
aaspe security r5 incorrect,8
aaspe security r5 incorrect,8
aaspe security r5 incorrect,8
aaspe security r5 incorrect,8
aaspe security r5,8
aaspe security r6 correct,20
aaspe security r6 incorrect,20
aaspe security r6,20
aaspe security r7 integration fail,22
aaspe security r7 integration fail,22
aaspe security r7 integration fail,22
aaspe security r7 integration,22
aaspe security r7 integration success,22
aaspe security r7 integration success,22
aaspe security r7 integration success,22
aaspe security timing requirements correct,8
aaspe security timing requirements incorrect,8
aaspe security timing requirements,8
aaspe sel bb serial beaglebone,40
aaspe sel hello world hello,36
aaspe sel ping pong event ping beaglebone,36
aaspe sel ping pong event ping,36
aaspe sel ping pong event ping kzm,36
aaspe sel ping pong event ping x,36
aaspe sel ping pong ping beaglebone,36
aaspe sel ping pong ping,36
aaspe sel ping pong ping kzm,36
aaspe sel ping pong ping x,36
aaspe sel two tasks twotasks beaglebone,36
