Model,Component,Feature,ConnectionInstance
6ucubesat rta controller rta controller 1,"dm sub , unv sub , ver sub","pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4 , pre psi1 in , pre psi2 in , pre psi3 in , pre psi4 in , psi dot comm 1 verified in , psi dot comm 2 verified in , psi dot comm 3 verified in , psi dot comm 4 verified in , psi dot comm 1 unverified in , psi dot comm 2 unverified in , psi dot comm 3 unverified in , psi dot comm 4 unverified in , psi dot comm 1 dm , psi dot comm 2 dm , psi dot comm 3 dm , psi dot comm 4 dm , pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4 , pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4","pre psi1 > dm sub.pre psi1 in , pre psi1 > ver sub.pre psi1 , pre psi1 > unv sub.pre psi1 , pre psi2 > dm sub.pre psi2 in , pre psi2 > ver sub.pre psi2 , pre psi2 > unv sub.pre psi2 , pre psi3 > dm sub.pre psi3 in , pre psi3 > ver sub.pre psi3 , pre psi3 > unv sub.pre psi3 , pre psi4 > dm sub.pre psi4 in , pre psi4 > ver sub.pre psi4 , pre psi4 > unv sub.pre psi4 , dm sub.psi dot comm 1 dm > psi dot comm 1 , dm sub.psi dot comm 2 dm > psi dot comm 2 , dm sub.psi dot comm 3 dm > psi dot comm 3 , dm sub.psi dot comm 4 dm > psi dot comm 4 , unv sub.psi dot comm 1 > dm sub.psi dot comm 1 unverified in , unv sub.psi dot comm 2 > dm sub.psi dot comm 2 unverified in , unv sub.psi dot comm 3 > dm sub.psi dot comm 3 unverified in , unv sub.psi dot comm 4 > dm sub.psi dot comm 4 unverified in , ver sub.psi dot comm 1 > dm sub.psi dot comm 1 verified in , ver sub.psi dot comm 2 > dm sub.psi dot comm 2 verified in , ver sub.psi dot comm 3 > dm sub.psi dot comm 3 verified in , ver sub.psi dot comm 4 > dm sub.psi dot comm 4 verified in"
890 isolette ksu isolette isolette single sensor 4,"heat source , temperature sensor , thermostat","heat loss , air temp , on heater , on alarm",
890 isolette ksu isolette isolette single sensor 5,"heat source , temperature sensor , thermostat","heat loss , air temp , on heater , on alarm",
890 isolette ksu isolette operator interface 1,"temp display , status display , desired set , alarm set","display temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp , air temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp","display temp > temp display.air temp , reg status > status display.reg status , mon status > status display.mon status , desired set.lower desired temp > lower desired temp , desired set.upper desired temp > upper desired temp , alarm set.lower alarm temp > lower alarm temp , alarm set.upper alarm temp > upper alarm temp"
890 isolette ksu isolette operator interface 2,"temp display , status display , desired set , alarm set","display temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp , air temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp","display temp > temp display.air temp , reg status > status display.reg status , mon status > status display.mon status , desired set.lower desired temp > lower desired temp , desired set.upper desired temp > upper desired temp , alarm set.lower alarm temp > lower alarm temp , alarm set.upper alarm temp > upper alarm temp"
890 isolette ksu isolette thermostat single sensor 5,"regulate temp , manage heat source , monitor temp , manage alarm","air temp , on heater , on alarm , current temp , on heater , current temp , on heater , current temp , on alarm , current temp , on alarm","air temp > regulate temp.manage heat source.current temp , air temp > monitor temp.manage alarm.current temp , regulate temp.manage heat source.on heater > on heater , monitor temp.manage alarm.on alarm > on alarm"
architecture of smart parking informationserviceprovider isp 1,"sub hw bus , sub tic , collection",bus access,sub hw bus > sub tic.bus access
architecture of smart parking rse rseowner 1,"rse electricchargesupportprovider , rse workzonesafetyprovider , rse travelinformationcommunicationprovider , rse trafficmeteringprovider , rse speedmanagementprovider","rse ecsp data in , rse ecsp data out , rse wsp data in , rse wsp data out , rse ticp data in , rse ticp data out , rse tmp data in , rse tmp data out , rse smp data in , rse smp data out",
architecture of smart parking smartparkingsystem tispsys 1,"sub driver , sub hardwarecomm , sub vehicleobe , sub roadsideobe , sub parkingmanager , sub rse electricchargesupportprovider , sub rse workzonesafetyprovider , sub rse travelinformationcommunicationprovider , sub rse trafficmeteringprovider , sub rse speedmanagementprovider , sub tic , collection","signal in , signal2 in , signal3 in , driverinfo input , driverout , signal out , parking data received , signal out , parking data received , signal out , signal in , rse ecsp data in , rse ecsp data out , rse wsp data in , rse wsp data out , rse ticp data in , rse ticp data out , rse tmp data in , rse tmp data out , rse smp data in , rse smp data out , bus access","signal in > sub rse electricchargesupportprovider.rse ecsp data in , signal2 in > sub rse travelinformationcommunicationprovider.rse ticp data in , signal3 in > sub parkingmanager.signal in , sub hardwarecomm > sub tic.bus access , sub parkingmanager.signal out > sub driver.driverinfo input , sub rse electricchargesupportprovider.rse ecsp data out > sub roadsideobe.parking data received , sub rse travelinformationcommunicationprovider.rse ticp data out > sub vehicleobe.parking data received"
bottle filling bottlefilling bottlefillingsystem 1,"operator interface , main bus , water pipe , filter , quality sensor , filling valve , bottle sensor , bottle conveyor , main ram , control system , water input thread , filling thread , conveyor thread , control thread , operator input thread , main processor , ram","control commands , water flow , bus access , filter needs changing , bus access , water quality , bus access , valve operate , bus access , bottle in place , bottle full , bus access , set conveyor speed , conveyor speed , start stop conveyor , bus access , bus access , control commands , water flow , water quality , set conveyor speed , current conveyor speed , change filter in , valve operate , bottle in place , bottle full , conveyor on , water flow in , quality in , water info out , filter in , water info in , valve out , bottle in place in , bottle full in , set conveyor speed out , current conveyor speed in , conveyor on out , control commands in , valve in , valve out , conveyor in , conveyor out , control commands in , control commands out , bus access , bus access","water input thread.water info out > filling thread.water info in , filling thread.valve out > control thread.valve in , conveyor thread.conveyor on out > control thread.conveyor in , operator input thread.control commands out > control thread.control commands in , operator interface.control commands > control system.operator input thread.control commands in , main bus > water pipe.bus access , main bus > filter.bus access , main bus > quality sensor.bus access , main bus > filling valve.bus access , main bus > bottle sensor.bus access , main bus > bottle conveyor.bus access , main bus > main processor.bus access , main bus > main ram.bus access , water pipe.water flow > control system.water input thread.water flow in , filter.filter needs changing > control system.water input thread.filter in , quality sensor.water quality > control system.water input thread.quality in , bottle sensor.bottle in place > control system.filling thread.bottle in place in , bottle sensor.bottle full > control system.filling thread.bottle full in , bottle conveyor.conveyor speed > control system.conveyor thread.current conveyor speed in , main ram.bus access > main bus , control system.conveyor thread.set conveyor speed out > bottle conveyor.set conveyor speed , control system.control thread.valve out > filling valve.valve operate , control system.control thread.conveyor out > bottle conveyor.start stop conveyor"
car example carsystem mycar 1,"ui , ud , wrs , bp , act , cc , computethrottlesettingprocess , compute throttle setting , scanccinputprocess , scan cc ports , computevelocityprocess , compute velocity , speedcontrolloopprocess , speed control loop , cc mcu , canbus , ram , cpu","ui cc , ud cc , wrs cc , bp cc , act cc , cc ui , cc ud , cc wrs , cc bp , cc ca , cc desired speed , cc throttle setting , desired speed , throttle setting , cc wrs , cc bp , cc run , brake status , wheel pulse , run cc , cc wrs , cc inst velocity , wheel pulse , inst velocity , cc run cc , cc inst velocity , cc desired speed , run cc , inst velocity , desired speed , canba , pciba , canba , pciba","scanccinputprocess.scan cc ports.run cc > speedcontrolloopprocess.speed control loop.run cc , computevelocityprocess.compute velocity.inst velocity > speedcontrolloopprocess.speed control loop.inst velocity , speedcontrolloopprocess.speed control loop.desired speed > computethrottlesettingprocess.compute throttle setting.desired speed , ui.ui cc > cc.cc ui , wrs.wrs cc > cc.scanccinputprocess.scan cc ports.wheel pulse , wrs.wrs cc > cc.computevelocityprocess.compute velocity.wheel pulse , bp.bp cc > cc.scanccinputprocess.scan cc ports.brake status , cc.cc ud > ud.ud cc , cc.computethrottlesettingprocess.compute throttle setting.throttle setting > act.act cc"
car example hardwareplatform cc mcu dual 1,"can bus , pci bus , ram , rom , power pc","canba , pciba , pciba , canba , pciba","canba > can bus , can bus > power pc.canba , can bus > canba , pci bus > ram.pciba , pci bus > rom.pciba , pci bus > power pc.pciba , ram.pciba > pci bus , rom.pciba > pci bus , power pc.canba > can bus , power pc.pciba > pci bus"
car example hardwareplatform cc mcu 1,"canbus , ram , cpu","canba , pciba , canba , pciba",
car example hardwareplatform cc mcu single 1,"can bus , pci bus , ram , rom , power pc","canba , pciba , pciba , canba , pciba","canba > can bus , can bus > power pc.canba , can bus > canba , pci bus > ram.pciba , pci bus > rom.pciba , pci bus > power pc.pciba , ram.pciba > pci bus , rom.pciba > pci bus , power pc.canba > can bus , power pc.pciba > pci bus"
car example softwareapps cruisecontrol 1,"computethrottlesettingprocess , compute throttle setting , scanccinputprocess , scan cc ports , computevelocityprocess , compute velocity , speedcontrolloopprocess , speed control loop","cc ui , cc ud , cc wrs , cc bp , cc ca , cc desired speed , cc throttle setting , desired speed , throttle setting , cc wrs , cc bp , cc run , brake status , wheel pulse , run cc , cc wrs , cc inst velocity , wheel pulse , inst velocity , cc run cc , cc inst velocity , cc desired speed , run cc , inst velocity , desired speed","cc wrs > scanccinputprocess.scan cc ports.wheel pulse , cc wrs > computevelocityprocess.compute velocity.wheel pulse , cc bp > scanccinputprocess.scan cc ports.brake status , computethrottlesettingprocess.compute throttle setting.throttle setting > cc ca , scanccinputprocess.scan cc ports.run cc > speedcontrolloopprocess.speed control loop.run cc , computevelocityprocess.compute velocity.inst velocity > speedcontrolloopprocess.speed control loop.inst velocity , speedcontrolloopprocess.speed control loop.desired speed > computethrottlesettingprocess.compute throttle setting.desired speed"
designer cruisecontrol cruisecontrollaws model 1,"p cruisecontrol process , t cruise1 , t cruise2","cruiseactive , refspd mph , autospd mph , throttlepos in , cruiseactive , refspd mph , autospd mph , throttlepos in , cruiseactive , refspd mph , autospd mph , filautospd mph , filrefspd mph , filautospd mph , filrefspd mph , throttlepos in",
designer cruisecontrol cruisecontrol generic 1,"lan , hci processor , ccl processor , s hci , p hci process , t buttonpanel , t drivermodelogic , t refspd , t instrumentpanel , s cruisecontrollaws , p cruisecontrol process , t cruise1 , t cruise2","breakpedalpressed , clutchpedalpressed , autospd mph , engspd rpm , throttlepos in , b lan , b lan , breakpedalpressed , clutchpedalpressed , autospd mph , engspd rpm , cruiseactive , refspd mph , breakpedalpressed , clutchpedalpressed , autospd mph , engspd rpm , cruiseactive , refspd mph , activate , cancel , onnotoff , incspeed , decspd , breakpedalpressed , clutchpedalpressed , activate , cancel , onnotoff , cruiseactive , activate , cruiseactive , incspeed , decspd , refspd mph , autospd mph , engspd rpm , refspd mph , cruiseactive , refspd mph , autospd mph , throttlepos in , cruiseactive , refspd mph , autospd mph , throttlepos in , cruiseactive , refspd mph , autospd mph , filautospd mph , filrefspd mph , filautospd mph , filrefspd mph , throttlepos in",
designer cruisecontrol hci model 1,"p hci process , t buttonpanel , t drivermodelogic , t refspd , t instrumentpanel","breakpedalpressed , clutchpedalpressed , autospd mph , engspd rpm , cruiseactive , refspd mph , breakpedalpressed , clutchpedalpressed , autospd mph , engspd rpm , cruiseactive , refspd mph , activate , cancel , onnotoff , incspeed , decspd , breakpedalpressed , clutchpedalpressed , activate , cancel , onnotoff , cruiseactive , activate , cruiseactive , incspeed , decspd , refspd mph , autospd mph , engspd rpm , refspd mph",
examples fc flightcontroller 1,gps,"uart , uart recv , uart send , position",gps.position > uart send
examples fc flightcontroller 2,gps,"uart , uart recv , uart send , position",gps.position > uart send
examples gs groundstation 1,"bus hw , radio hw , mem hw , proc sw , radiodriver , sendmessagesservicegs , proc hw","rfa , radio recv , radio send , recv data in , recv data out , send data in , send data out , gsa , rfa , gsa , recv data , send data , recv data , send data , automationrequest , operatingregion , linesearchtask , operatingregion , linesearchtask , automationrequest , gsa","sendmessagesservicegs.operatingregion > radiodriver.operatingregion , sendmessagesservicegs.linesearchtask > radiodriver.linesearchtask , sendmessagesservicegs.automationrequest > radiodriver.automationrequest , rfa > radio hw.rfa , radio recv > radio hw.recv data in , bus hw > radio hw.gsa , bus hw > proc hw.gsa , bus hw > mem hw.gsa , radio hw.recv data out > proc sw.radiodriver.recv data , radio hw.send data out > radio send , radio hw.gsa > bus hw , radio hw.rfa > rfa , mem hw.gsa > bus hw , proc sw.radiodriver.send data > radio hw.send data in , proc hw.gsa > bus hw"
examples gs groundstation 2,"bus hw , radio hw , mem hw , proc sw , radiodriver , sendmessagesservicegs , proc hw","rfa , radio recv , radio send , recv data in , recv data out , send data in , send data out , gsa , rfa , gsa , recv data , send data , recv data , send data , automationrequest , operatingregion , linesearchtask , operatingregion , linesearchtask , automationrequest , gsa","sendmessagesservicegs.operatingregion > radiodriver.operatingregion , sendmessagesservicegs.linesearchtask > radiodriver.linesearchtask , sendmessagesservicegs.automationrequest > radiodriver.automationrequest , rfa > radio hw.rfa , radio recv > radio hw.recv data in , bus hw > radio hw.gsa , bus hw > proc hw.gsa , bus hw > mem hw.gsa , radio hw.recv data out > proc sw.radiodriver.recv data , radio hw.send data out > radio send , radio hw.gsa > bus hw , radio hw.rfa > rfa , mem hw.gsa > bus hw , proc sw.radiodriver.send data > radio hw.send data in , proc hw.gsa > bus hw"
examples hardware pcb clock 1,"main bus , maintenance , nic , timers , ebc , cpu , ram , rom , hmi , power bus , power , internal maintenance bus , clock controller","sense , ui touch , act , ui image , ui sound , connectors , serial bus , usb bus , lvds bus , hdmi bus , vga bus , ethernet , maintenance bus , maintenance bus , provision bus , system bus , power supply , mp clock , mtm bus , system bus , ethernet , power supply , nic clock , mtm bus , system bus , peripheral power , system bus , serial bus , usb bus , lvds bus , power supply , system bus , mtm bus , gpio , cpu clock , power supply , system bus , power supply , mtm bus , system bus , power supply , mtm bus , system bus , power supply , dc clock , sc clock , mtm bus , hdmi bus , vga bus , ui image , ui sound , ui touch , power supply , system bus , peripheral power , mtm bus , cpu clock , nic clock , mp clock , dc clock , sc clock , clk pwr","sense.ui touch > hmi.ui touch , ethernet > nic.ethernet , maintenance bus > maintenance.maintenance bus , main bus > cpu.ram.system bus , main bus > cpu.rom.system bus , main bus > ebc.system bus , main bus > nic.system bus , main bus > hmi.system bus , main bus > maintenance.system bus , main bus > power.system bus , maintenance.mtm bus > internal maintenance bus , nic.ethernet > ethernet , timers.system bus > main bus , ebc.serial bus > connectors.serial bus , ebc.usb bus > connectors.usb bus , ebc.lvds bus > connectors.lvds bus , hmi.hdmi bus > connectors.hdmi bus , hmi.vga bus > connectors.vga bus , hmi.ui image > act.ui image , hmi.ui sound > act.ui sound , power bus > cpu.ram.power supply , power bus > cpu.rom.power supply , power bus > maintenance.power supply , power bus > nic.power supply , power bus > ebc.power supply , power bus > hmi.power supply , power.power supply > power bus , internal maintenance bus > cpu.ram.mtm bus , internal maintenance bus > cpu.rom.mtm bus , internal maintenance bus > nic.mtm bus , internal maintenance bus > hmi.mtm bus , clock controller.cpu clock > cpu.cpu clock , clock controller.nic clock > nic.nic clock , clock controller.mp clock > maintenance.mp clock , clock controller.dc clock > hmi.dc clock , clock controller.sc clock > hmi.sc clock"
examples hardware pcb i 1,"main bus , maintenance , nic , timers , ebc , cpu , ram , rom , hmi","sense , ui touch , act , ui image , ui sound , connectors , serial bus , usb bus , lvds bus , hdmi bus , vga bus , ethernet , maintenance bus , maintenance bus , provision bus , system bus , power supply , mp clock , mtm bus , system bus , ethernet , power supply , nic clock , mtm bus , system bus , peripheral power , system bus , serial bus , usb bus , lvds bus , power supply , system bus , mtm bus , gpio , cpu clock , power supply , system bus , power supply , mtm bus , system bus , power supply , mtm bus , system bus , power supply , dc clock , sc clock , mtm bus , hdmi bus , vga bus , ui image , ui sound , ui touch","sense.ui touch > hmi.ui touch , ethernet > nic.ethernet , maintenance bus > maintenance.maintenance bus , main bus > cpu.ram.system bus , main bus > cpu.rom.system bus , main bus > ebc.system bus , main bus > nic.system bus , main bus > hmi.system bus , main bus > maintenance.system bus , nic.ethernet > ethernet , timers.system bus > main bus , ebc.serial bus > connectors.serial bus , ebc.usb bus > connectors.usb bus , ebc.lvds bus > connectors.lvds bus , hmi.hdmi bus > connectors.hdmi bus , hmi.vga bus > connectors.vga bus , hmi.ui image > act.ui image , hmi.ui sound > act.ui sound"
examples hardware pcb mp 1,"main bus , maintenance , nic , timers , ebc , cpu , ram , rom , hmi , power bus , power , internal maintenance bus","sense , ui touch , act , ui image , ui sound , connectors , serial bus , usb bus , lvds bus , hdmi bus , vga bus , ethernet , maintenance bus , maintenance bus , provision bus , system bus , power supply , mp clock , mtm bus , system bus , ethernet , power supply , nic clock , mtm bus , system bus , peripheral power , system bus , serial bus , usb bus , lvds bus , power supply , system bus , mtm bus , gpio , cpu clock , power supply , system bus , power supply , mtm bus , system bus , power supply , mtm bus , system bus , power supply , dc clock , sc clock , mtm bus , hdmi bus , vga bus , ui image , ui sound , ui touch , power supply , system bus , peripheral power , mtm bus","sense.ui touch > hmi.ui touch , ethernet > nic.ethernet , maintenance bus > maintenance.maintenance bus , main bus > cpu.ram.system bus , main bus > cpu.rom.system bus , main bus > ebc.system bus , main bus > nic.system bus , main bus > hmi.system bus , main bus > maintenance.system bus , main bus > power.system bus , maintenance.mtm bus > internal maintenance bus , nic.ethernet > ethernet , timers.system bus > main bus , ebc.serial bus > connectors.serial bus , ebc.usb bus > connectors.usb bus , ebc.lvds bus > connectors.lvds bus , hmi.hdmi bus > connectors.hdmi bus , hmi.vga bus > connectors.vga bus , hmi.ui image > act.ui image , hmi.ui sound > act.ui sound , power bus > cpu.ram.power supply , power bus > cpu.rom.power supply , power bus > maintenance.power supply , power bus > nic.power supply , power bus > ebc.power supply , power bus > hmi.power supply , power.power supply > power bus , internal maintenance bus > cpu.ram.mtm bus , internal maintenance bus > cpu.rom.mtm bus , internal maintenance bus > nic.mtm bus , internal maintenance bus > hmi.mtm bus"
