Model,Cluster,Component,Feature
6ucubesat rta controller rta controller 1,7,"dm sub , unv sub , ver sub","pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4 , pre psi1 in , pre psi2 in , pre psi3 in , pre psi4 in , psi dot comm 1 verified in , psi dot comm 2 verified in , psi dot comm 3 verified in , psi dot comm 4 verified in , psi dot comm 1 unverified in , psi dot comm 2 unverified in , psi dot comm 3 unverified in , psi dot comm 4 unverified in , psi dot comm 1 dm , psi dot comm 2 dm , psi dot comm 3 dm , psi dot comm 4 dm , pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4 , pre psi1 , pre psi2 , pre psi3 , pre psi4 , psi dot comm 1 , psi dot comm 2 , psi dot comm 3 , psi dot comm 4"
890 isolette ksu isolette isolette single sensor 4,1,"heat source , temperature sensor , thermostat","heat loss , air temp , on heater , on alarm"
890 isolette ksu isolette isolette single sensor 5,1,"heat source , temperature sensor , thermostat","heat loss , air temp , on heater , on alarm"
890 isolette ksu isolette operator interface 1,3,"temp display , status display , desired set , alarm set","display temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp , air temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp"
890 isolette ksu isolette operator interface 2,3,"temp display , status display , desired set , alarm set","display temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp , air temp , reg status , mon status , lower desired temp , upper desired temp , lower alarm temp , upper alarm temp"
890 isolette ksu isolette thermostat single sensor 5,1,"regulate temp , manage heat source , monitor temp , manage alarm","air temp , on heater , on alarm , current temp , on heater , current temp , on heater , current temp , on alarm , current temp , on alarm"
architecture of smart parking informationserviceprovider isp 1,19,"sub hw bus , sub tic , collection",bus access
architecture of smart parking rse rseowner 1,26,"rse electricchargesupportprovider , rse workzonesafetyprovider , rse travelinformationcommunicationprovider , rse trafficmeteringprovider , rse speedmanagementprovider","rse ecsp data in , rse ecsp data out , rse wsp data in , rse wsp data out , rse ticp data in , rse ticp data out , rse tmp data in , rse tmp data out , rse smp data in , rse smp data out"
architecture of smart parking smartparkingsystem tispsys 1,13,"sub driver , sub hardwarecomm , sub vehicleobe , sub roadsideobe , sub parkingmanager , sub rse electricchargesupportprovider , sub rse workzonesafetyprovider , sub rse travelinformationcommunicationprovider , sub rse trafficmeteringprovider , sub rse speedmanagementprovider , sub tic , collection","signal in , signal2 in , signal3 in , driverinfo input , driverout , signal out , parking data received , signal out , parking data received , signal out , signal in , rse ecsp data in , rse ecsp data out , rse wsp data in , rse wsp data out , rse ticp data in , rse ticp data out , rse tmp data in , rse tmp data out , rse smp data in , rse smp data out , bus access"
bottle filling bottlefilling bottlefillingsystem 1,39,"operator interface , bus , water pipe , filter , quality sensor , filling valve , bottle sensor , bottle conveyor , ram , control , water input thread , filling thread , conveyor thread , control thread , operator input thread , processor , ram","control commands , water flow , bus access , filter needs changing , bus access , water quality , bus access , valve operate , bus access , bottle in place , bottle full , bus access , set conveyor speed , conveyor speed , start stop conveyor , bus access , bus access , control commands , water flow , water quality , set conveyor speed , current conveyor speed , change filter in , valve operate , bottle in place , bottle full , conveyor on , water flow in , quality in , water info out , filter in , water info in , valve out , bottle in place in , bottle full in , set conveyor speed out , current conveyor speed in , conveyor on out , control commands in , valve in , valve out , conveyor in , conveyor out , control commands in , control commands out , bus access , bus access"
